#,Text,Gloss,NpyFilesRoot
985,Have you been assessed for any rare conditions?,RARE CONDITIONS ASSESSED HAVE YOU?,/RARE CONDITIONS ASSESSED HAVE YOU/*.npy
986,Have you been changing your bandages as directed?,"BANDAGES CHANGE AS DIRECTED, HAVE YOU?","/BANDAGES CHANGE AS DIRECTED, HAVE YOU/*.npy"
987,Have you been checking for signs of infection around the wound?,WOUND INFECTION SIGNS CHECK YOU?,/WOUND INFECTION SIGNS CHECK YOU/*.npy
988,Have you been consistent with your exercise routines?,EXERCISE ROUTINES CONSISTENT FOLLOW YOU?,/EXERCISE ROUTINES CONSISTENT FOLLOW YOU/*.npy
989,Have you been contacting your nurse?,NURSE CONTACT YOU?,/NURSE CONTACT YOU/*.npy
990,Have you been doing anything to prevent constipation?,CONSTIPATION PREVENT DO ANYTHING YOU?,/CONSTIPATION PREVENT DO ANYTHING YOU/*.npy
991,Have you been elevating your legs to reduce swelling?,LEGS ELEVATE REDUCE SWELLING YOU?,/LEGS ELEVATE REDUCE SWELLING YOU/*.npy
992,have you been experiencing any digestive issues?,DIGESTIVE ISSUES EXPERIENCE YOU?,/DIGESTIVE ISSUES EXPERIENCE YOU?/*.npy
993,have you been experiencing any ear pain?,EAR PAIN EXPERIENCE YOU?,/EAR PAIN EXPERIENCE YOU?/*.npy
994,have you been experiencing any eye irritation or vision changes?,EYE IRRITATION VISION CHANGE EXPERIENCE YOU?,/EYE IRRITATION VISION CHANGE EXPERIENCE YOU?/*.npy
995,have you been experiencing any joint pain or stiffness?,JOINT PAIN STIFFNESS YOU EXPERIENCE?,/JOINT PAIN STIFFNESS YOU EXPERIENCE?/*.npy
996,Have you been experiencing any stomache?,STOMACHACHE EXPERIENCE YOU?,/STOMACHACHE EXPERIENCE YOU/*.npy
997,have you been experiencing any urinary problems?,URINARY PROBLEMS EXPERIENCE YOU?,/URINARY PROBLEMS EXPERIENCE YOU?/*.npy
998,Have you been experiencing dizziness or fainting?,DIZZINESS FAINTING EXPERIENCE YOU?,/DIZZINESS FAINTING EXPERIENCE YOU?/*.npy
999,Have you been experiencing ear pain?,EAR PAIN EXPERIENCE YOU?,/EAR PAIN EXPERIENCE YOU?/*.npy
1000,Have you been experiencing joint stiffness in the mornings?,JOINT STIFFNESS MORNING EXPERIENCE YOU?,/JOINT STIFFNESS MORNING EXPERIENCE YOU/*.npy
1001,have you been exposed to anyone with contagious diseases recently?,CONTAGIOUS DISEASES EXPOSE RECENT ANY?,/CONTAGIOUS DISEASES EXPOSE RECENT ANY?/*.npy
1002,Have you been feeling more stressed lately?,STRESS LATELY FEEL MORE YOU?,/STRESS LATELY FEEL MORE YOU/*.npy
1003,Have you been following a healthy diet?,DIET HEALTHY FOLLOW YOU?,/DIET HEALTHY FOLLOW YOU/*.npy
1004,have you been following the diet plan we discussed last time?,DIET PLAN WE DISCUSS LAST TIME YOU FOLLOW?,/DIET PLAN WE DISCUSS LAST TIME YOU FOLLOW?/*.npy
1005,have you been following the exercise recommendations?,EXERCISE RECOMMENDATIONS FOLLOW YOU?,/EXERCISE RECOMMENDATIONS FOLLOW YOU?/*.npy
1006,Have you been following up with your doctor?,DOCTOR FOLLOW-UP YOU?,/DOCTOR FOLLOW-UP YOU/*.npy
1007,Have you been in contact with anyone who is sick?,SICK PERSON CONTACT YOU?,/SICK PERSON CONTACT YOU/*.npy
1008,Have you been in touch with your nurse?,NURSE CONTACT YOU?,/NURSE CONTACT YOU/*.npy
1009,Have you been keeping the the wound clean and dry?,WOUND CLEAN DRY KEEP YOU?,/WOUND CLEAN DRY KEEP YOU/*.npy
1010,Have you been monitoring early signs of complications?,COMPLICATIONS EARLY SIGNS MONITOR YOU?,/COMPLICATIONS EARLY SIGNS MONITOR YOU/*.npy
1011,Have you been monitoring your blood sugar levels daily?,BLOOD SUGAR LEVELS MONITOR DAILY YOU?,/BLOOD SUGAR LEVELS MONITOR DAILY YOU/*.npy
1012,Have you been monitoring your blood sugar levels?,BLOOD SUGAR LEVELS MONITOR YOU?,/BLOOD SUGAR LEVELS MONITOR YOU/*.npy
1013,Have you been near anyone with similar symptoms?,SYMPTOMS SAME PERSON NEAR YOU?,/SYMPTOMS SAME PERSON NEAR YOU/*.npy
1014,Have you been performing breathing exercises?,BREATHING EXERCISE DO YOU?,/BREATHING EXERCISE DO YOU/*.npy
1015,Have you been practicing meditation?,MEDITATION PRACTICE YOU?,/MEDITATION PRACTICE YOU/*.npy
1016,Have you been screened for breast cancer?,BREAST CANCER SCREENED HAVE YOU?,/BREAST CANCER SCREENED HAVE YOU/*.npy
1017,Have you been screened for cholesterol recently?,CHOLESTEROL SCREENING RECENT HAVE YOU?,/CHOLESTEROL SCREENING RECENT HAVE YOU/*.npy
1018,Have you been screened for hypertension?,HYPERTENSION SCREENED HAVE YOU?,/HYPERTENSION SCREENED HAVE YOU/*.npy
1019,Have you been screened for STI recently?,STI SCREENED RECENT HAVE YOU?,/STI SCREENED RECENT HAVE YOU/*.npy
1020,Have you been seeing any specialists?,SPECIALISTS SEE YOU?,/SPECIALISTS SEE YOU/*.npy
1021,Have you been staying hydrated?,HYDRATED STAY YOU?,/HYDRATED STAY YOU/*.npy
1022,Have you been storing your medication properly?,MEDICATION STORE PROPERLY YOU?,/MEDICATION STORE PROPERLY YOU/*.npy
1023,Have you been stretching daily?,STRETCH DAILY YOU?,/STRETCH DAILY YOU/*.npy
1024,Have you been taking a daily vitamines?,VITAMINES DAILY TAKE YOU?,/VITAMINES DAILY TAKE YOU/*.npy
1025,Have you been taking your medication as prescribed by your doctor?,MEDICATION PRESCRIBED DOCTOR TAKE YOU?,/MEDICATION PRESCRIBED DOCTOR TAKE YOU/*.npy
1026,Have you been tested for diabetes recently?,DIABETES TEST RECENT HAVE YOU?,/DIABETES TEST RECENT HAVE YOU/*.npy
1027,Have you been trying to reduce stress in your life?,STRESS LIFE REDUCE TRY YOU?,/STRESS LIFE REDUCE TRY YOU/*.npy
1028,Have you been using any assistive devices?,ASSISTIVE DEVICES USE YOU?,/ASSISTIVE DEVICES USE YOU/*.npy
1029,Have you been vaccinated for COVID?,COVID VACCINE HAVE YOU?,/COVID VACCINE HAVE YOU/*.npy
1030,Have you been wearing the CPAP as instructed?,CPAP WEAR AS INSTRUCTED YOU?,/CPAP WEAR AS INSTRUCTED YOU/*.npy
1031,Have you checked your blood sugar levels recently?,BLOOD SUGAR LEVELS CHECK RECENT YOU?,/BLOOD SUGAR LEVELS CHECK RECENT YOU/*.npy
1032,Have you completed all recommended blood tests?,BLOOD TESTS RECOMMENDED ALL COMPLETE YOU?,/BLOOD TESTS RECOMMENDED ALL COMPLETE YOU/*.npy
1033,Have you considered creating a will?,WILL CREATE CONSIDER YOU?,/WILL CREATE CONSIDER YOU/*.npy
1034,Have you considered getting professional help?,PROFESSIONAL HELP CONSIDER YOU?,/PROFESSIONAL HELP CONSIDER YOU/*.npy
1035,Have you considered long-term care?,LONG-TERM CARE CONSIDER YOU?,/LONG-TERM CARE CONSIDER YOU/*.npy
1036,Have you considered making lifestyle changes?,LIFESTYLE CHANGES CONSIDER YOU?,/LIFESTYLE CHANGES CONSIDER YOU/*.npy
1037,Have you considered speaking with a genetic counselor about hereditary risks?,GENETIC COUNSELOR HEREDITARY RISKS SPEAK CONSIDER YOU?,/GENETIC COUNSELOR HEREDITARY RISKS SPEAK CONSIDER YOU/*.npy
1038,Have you considered talking to someone about your mental health?,MENTAL HEALTH SOMEONE TALK CONSIDER YOU?,/MENTAL HEALTH SOMEONE TALK CONSIDER YOU/*.npy
1039,Have you discussed genetic testing with your doctor?,GENETIC TESTING DOCTOR DISCUSS YOU?,/GENETIC TESTING DOCTOR DISCUSS YOU/*.npy
1040,Have you discussed the care plan with other family members?,CARE PLAN FAMILY MEMBERS DISCUSS YOU?,/CARE PLAN FAMILY MEMBERS DISCUSS YOU/*.npy
1041,Have you discussed your medication plan with your pharmacist?,MEDICATION PLAN PHARMACIST DISCUSS YOU?,/MEDICATION PLAN PHARMACIST DISCUSS YOU/*.npy
1042,Have you ever experienced these symptoms before?,SYMPTOMS THESE BEFORE EXPERIENCE YOU?,/SYMPTOMS THESE BEFORE EXPERIENCE YOU/*.npy
1043,Have you ever had a reaction to anesthesia or sedation?,ANESTHESIA REACTION HISTORY HAVE?,/ANESTHESIA REACTION HISTORY HAVE?/*.npy
1044,Have you experienced any allergic reactions to past medications?,MEDICATION PAST ALLERGIC REACTIONS EXPERIENCE YOU?,/MEDICATION PAST ALLERGIC REACTIONS EXPERIENCE YOU/*.npy
1045,have you experienced any changes in your mood or behavior?,MOOD BEHAVIOR CHANGE EXPERIENCE YOU?,/MOOD BEHAVIOR CHANGE EXPERIENCE YOU?/*.npy
1046,Have you experienced any changes in your vision or irritation in your eyes?,EYE IRRITATION VISION CHANGE EXPERIENCE YOU?,/EYE IRRITATION VISION CHANGE EXPERIENCE YOU?/*.npy
1047,Have you experienced any depression recently?,DEPRESSION RECENT EXPERIENCE YOU?,/DEPRESSION RECENT EXPERIENCE YOU/*.npy
1048,Have you experienced any dizziness or lightheadedness recently?,DIZZINESS LIGHTHEADED RECENT EXPERIENCE YOU?,/DIZZINESS LIGHTHEADED RECENT EXPERIENCE YOU/*.npy
1049,Have you experienced any fever or chills?,FEVER CHILLS EXPERIENCE YOU?,/FEVER CHILLS EXPERIENCE YOU/*.npy
1050,Have you experienced any nausea after taking this medication?,"MEDICATION THIS, TAKE AFTER NAUSEA EXPERIENCE YOU?","/MEDICATION THIS, TAKE AFTER NAUSEA EXPERIENCE YOU/*.npy"
1051,Have you experienced any side effects from this medication?,MEDICATION THIS SIDE EFFECTS EXPERIENCE YOU?,/MEDICATION THIS SIDE EFFECTS EXPERIENCE YOU/*.npy
1052,Have you experienced any side effects recently?,SIDE EFFECTS RECENT EXPERIENCE YOU?,/SIDE EFFECTS RECENT EXPERIENCE YOU/*.npy
1053,Have you had a bone density test?,BONE DENSITY TEST HAVE YOU?,/BONE DENSITY TEST HAVE YOU/*.npy
1054,Have you had a cancer screening this year?,CANCER SCREENING THIS YEAR HAVE YOU?,/CANCER SCREENING THIS YEAR HAVE YOU/*.npy
1055,Have you had a dental cleaning in the past six months?,DENTAL CLEANING LAST SIX MONTHS HAVE YOU?,/DENTAL CLEANING LAST SIX MONTHS HAVE YOU/*.npy
1056,Have you had a full cardiac evaluation?,CARDIAC EVALUATION FULL HAVE YOU?,/CARDIAC EVALUATION FULL HAVE YOU/*.npy
1057,Have you had a neurological evaluation?,NEUROLOGICAL EVALUATION HAVE YOU?,/NEUROLOGICAL EVALUATION HAVE YOU/*.npy
1058,Have you had a recent blood test?,BLOOD TEST RECENT HAVE YOU?,/BLOOD TEST RECENT HAVE YOU/*.npy
1059,Have you had a surgery before?,SURGERY BEFORE HAVE YOU?,/SURGERY BEFORE HAVE YOU/*.npy
1060,have you had any allergic reactions to medications in the past?,PAST ANY ALLERGIC REACTIONS MEDICINE YOU?,/PAST ANY ALLERGIC REACTIONS MEDICINE YOU?/*.npy
1061,Have you had any allergic reactions to this medication?,"MEDICATION THIS, ALLERGIC REACTION HAVE YOU?","/MEDICATION THIS, ALLERGIC REACTION HAVE YOU/*.npy"
1062,Have you had any changes in your weight recently?,WEIGHT CHANGE RECENT HAVE YOU?,/WEIGHT CHANGE RECENT HAVE YOU/*.npy
1063,Have you had any difficulty swallowing your pills?,PILLS SWALLOW DIFFICULTY HAVE YOU?,/PILLS SWALLOW DIFFICULTY HAVE YOU/*.npy
1064,have you had any dizziness or fainting spells?,DIZZINESS FAINTING EXPERIENCE YOU?,/DIZZINESS FAINTING EXPERIENCE YOU?/*.npy
1065,Have you had any issue remembering to take your doses?,DOSES REMEMBER TAKE PROBLEM YOU?,/DOSES REMEMBER TAKE PROBLEM YOU/*.npy
1066,Have you had any issues with your stitches?,STITCHES PROBLEM HAVE YOU?,/STITCHES PROBLEM HAVE YOU/*.npy
1067,have you had any previous surgeries?,SURGERY PAST YOU HAVE ANY?,/SURGERY PAST YOU HAVE ANY?/*.npy
1068,Have you had any prior reactions to contrast dyes?,CONTRAST DYES REACTION PAST HAVE YOU?,/CONTRAST DYES REACTION PAST HAVE YOU/*.npy
1069,Have you had any recent complications related to your condition?,CONDITION RECENT COMPLICATIONS HAVE YOU?,/CONDITION RECENT COMPLICATIONS HAVE YOU/*.npy
1070,Have you had any recent hospital stays or surgeries?,HOSPITAL STAY RECENT OR SURGERY ANY?,/HOSPITAL STAY RECENT OR SURGERY ANY?/*.npy
1071,have you had any recent hospitalizations or surgeries?,HOSPITAL STAY RECENT OR SURGERY ANY?,/HOSPITAL STAY RECENT OR SURGERY ANY?/*.npy
1072,have you had any symptoms of respiratory problems?,RESPIRATORY PROBLEMS SYMPTOMS HAVE YOU?,/RESPIRATORY PROBLEMS SYMPTOMS HAVE YOU?/*.npy
1073,Have you had any unexplained fevers recently?,FEVER UNEXPLAINED RECENT HAVE YOU?,/FEVER UNEXPLAINED RECENT HAVE YOU/*.npy
1074,Have you had your cholesterol levels checked recently?,CHOLESTEROL LEVELS CHECK RECENT?,/CHOLESTEROL LEVELS CHECK RECENT/*.npy
1075,Have you had your eyes checked in the last year?,EYE CHECK LAST YEAR HAVE YOU?,/EYE CHECK LAST YEAR HAVE YOU/*.npy
1076,Have you had your thyroid levels checked recently?,THYROID LEVELS CHECK RECENT HAVE YOU?,/THYROID LEVELS CHECK RECENT HAVE YOU/*.npy
1077,Have you made any lifestyle changes recently because of your health?,HEALTH RELATED LIFESTYLE CHANGE RECENT ANY?,/HEALTH RELATED LIFESTYLE CHANGE RECENT ANY?/*.npy
1078,Have you missed any doses recently?,DOSES MISS RECENT YOU?,/DOSES MISS RECENT YOU/*.npy
1079,have you noticed any changes in your bowel movement?,BOWEL MOVEMENT CHANGES NOTICE YOU?,/BOWEL MOVEMENT CHANGES NOTICE YOU?/*.npy
1080,have you noticed any changes in your menstrual cycle?,MENSTRUAL CYCLE CHANGES NOTICE YOU?,/MENSTRUAL CYCLE CHANGES NOTICE YOU?/*.npy
1081,Have you noticed any changes in your mobility?,MOBILITY CHANGE NOTICE YOU?,/MOBILITY CHANGE NOTICE YOU/*.npy
1082,Have you noticed any changes in your mood?,MOOD CHANGE NOTICE YOU?,/MOOD CHANGE NOTICE YOU/*.npy
1083,Have you noticed any changes in your physical strength?,PHYSICAL STRENGTH CHANGE NOTICE YOU?,/PHYSICAL STRENGTH CHANGE NOTICE YOU/*.npy
1084,have you noticed any changes in your skin or hair?,SKIN HAIR CHANGES NOTICE YOU?,/SKIN HAIR CHANGES NOTICE YOU?/*.npy
1085,Have you noticed any changes in your sleep?,SLEEP CHANGES NOTICE YOU?,/SLEEP CHANGES NOTICE YOU/*.npy
1086,Have you noticed any changes in your symptoms?,SYMPTOMS CHANGE NOTICE YOU?,/SYMPTOMS CHANGE NOTICE YOU/*.npy
1087,Have you noticed any changes in your urine color or frequency?,URINE COLOR FREQUENCY CHANGE NOTICE YOU?,/URINE COLOR FREQUENCY CHANGE NOTICE YOU/*.npy
1088,have you noticed any changes in your vision or hearing?,VISION HEARING CHANGE NOTICE YOU?,/VISION HEARING CHANGE NOTICE YOU?/*.npy
1089,Have you noticed any improvement in your joints?,JOINTS IMPROVEMENT NOTICE YOU?,/JOINTS IMPROVEMENT NOTICE YOU/*.npy
1090,have you noticed any improvement since your last visit?,IMPROVEMENT NOTICE SINCE LAST VISIT?,/IMPROVEMENT NOTICE SINCE LAST VISIT?/*.npy
1091,Have you noticed any new symptoms after starting this medication?,MEDICATION START NEW SYMPTOMS NOTICE YOU?,/MEDICATION START NEW SYMPTOMS NOTICE YOU/*.npy
1092,Have you noticed any new symptoms since your last test?,SYMPTOMS NEW SINCE LAST TEST NOTICE YOU?,/SYMPTOMS NEW SINCE LAST TEST NOTICE YOU/*.npy
1093,Have you noticed any new triggers for your symptoms?,SYMPTOMS TRIGGERS NEW NOTICE YOU?,/SYMPTOMS TRIGGERS NEW NOTICE YOU/*.npy
1094,Have you noticed any positive changes since your last visit?,POSITIVE CHANGES SINCE LAST VISIT NOTICE YOU?,/POSITIVE CHANGES SINCE LAST VISIT NOTICE YOU/*.npy
1095,Have you noticed any recent changes in your bowel habits?,BOWEL HABITS CHANGE RECENT NOTICE YOU?,/BOWEL HABITS CHANGE RECENT NOTICE YOU/*.npy
1096,"Have you noticed any signs of infection, such as redness or swelling?",INFECTION SIGNS REDNESS SWELLING NOTICE YOU?,/INFECTION SIGNS REDNESS SWELLING NOTICE YOU/*.npy
1097,Have you noticed any skin changes or new moles?,SKIN CHANGE MOLES NEW NOTICE YOU?,/SKIN CHANGE MOLES NEW NOTICE YOU/*.npy
1098,Have you noticed any swelling?,SWELLING NOTICE YOU?,/SWELLING NOTICE YOU/*.npy
1099,Have you noticed any triggers for your symptoms?,SYMPTOMS TRIGGERS NOTICE YOU?,/SYMPTOMS TRIGGERS NEW NOTICE YOU/*.npy
1100,Have you noticed any unusual bleeding?,BLEEDING UNUSUAL NOTICE YOU?,/BLEEDING UNUSUAL NOTICE YOU/*.npy
1101,Have you noticed any unusual side effects?,SIDE EFFECTS UNUSUAL NOTICE YOU?,/SIDE EFFECTS UNUSUAL NOTICE YOU/*.npy
1102,have you noticed any unusual swelling or redness?,SWELLING REDNESS UNUSUAL NOTICE YOU?,/SWELLING REDNESS UNUSUAL NOTICE YOU?/*.npy
1103,Have you noticed any unusual swelling?,SWELLING UNUSUAL NOTICE YOU?,/SWELLING UNUSUAL NOTICE YOU/*.npy
1104,Have you noticed changes in your bowel movement?,BOWEL MOVEMENT CHANGES NOTICE YOU?,/BOWEL MOVEMENT CHANGES NOTICE YOU?/*.npy
1105,Have you noticed new symptoms triggers?,SYMPTOMS TRIGGER NEW NOTICE YOU?,/SYMPTOMS TRIGGER NEW NOTICE YOU/*.npy
1106,have you noticed your appetite or sleep patterns?,APPETITE SLEEP PATTERN YOU NOTICE?,/APPETITE SLEEP PATTERN YOU NOTICE?/*.npy
1107,Have you observed any changes in your sleep or appetite?,APPETITE SLEEP PATTERN YOU NOTICE?,/APPETITE SLEEP PATTERN YOU NOTICE?/*.npy
1108,Have you received all your vaccines?,ALL VACCINES RECEIVE YOU?,/ALL VACCINES RECEIVE YOU/*.npy
1109,Have you received your annual flu vaccination?,FLU VACCINE YEARLY RECEIVE YOU?,/FLU VACCINE YEARLY RECEIVE YOU/*.npy
1110,Have you recently been exposed to a contagious disease?,CONTAGIOUS DISEASES EXPOSE RECENT ANY?,/CONTAGIOUS DISEASES EXPOSE RECENT ANY?/*.npy
1111,Have you recently fallen or been injured?,FALL INJURED RECENT YOU?,/FALL INJURED RECENT YOU?/*.npy
1112,Have you recently started or stopped any medications?,MEDICATION RECENT START OR STOP YOU?,/MEDICATION RECENT START OR STOP YOU/*.npy
1113,Have you scheduled your mammogram this year?,MAMMOGRAM THIS YEAR SCHEDULE YOU?,/MAMMOGRAM THIS YEAR SCHEDULE YOU/*.npy
1114,Have you scheduled your rehabilitation sessions?,REHABILITATION SESSIONS SCHEDULE YOU?,/REHABILITATION SESSIONS SCHEDULE YOU/*.npy
1115,have you tried any medications for this issue?,THIS ISSUE MEDICATION TRY YOU?,/THIS ISSUE MEDICATION TRY YOU?/*.npy
1116,Have you tried any over-the-counter medications?,OVER-THE-COUNTER MEDICATION TRY YOU?,/OVER-THE-COUNTER MEDICATION TRY YOU/*.npy
1117,Have you visited the dentist in the last six months?,DENTIST VISIT LAST SIX MONTHS HAVE YOU?,/DENTIST VISIT LAST SIX MONTHS HAVE YOU/*.npy
1118,how active are you able to be with your current health condition?,HEALTH CONDITION ACTIVE HOW MUCH?,/HEALTH CONDITION ACTIVE HOW MUCH?/*.npy
1119,how active are you with your current health condition?,HEALTH CONDITION ACTIVE HOW MUCH?,/HEALTH CONDITION ACTIVE HOW MUCH?/*.npy
1120,How are daily activities affected by your condition?,CONDITION AFFECT DAILY ACTIVITY HOW?,/CONDITION AFFECT DAILY ACTIVITY HOW?/*.npy
1121,how are you feeling about the progress you've made with your health?,HEALTH PROGRESS FEEL ABOUT HOW?,/HEALTH PROGRESS FEEL ABOUT HOW?/*.npy
1122,How are you feeling emotionally about your current health?,FEEL EMOTIONAL HEALTH CURRENT HOW?,/FEEL EMOTIONAL HEALTH CURRENT HOW?/*.npy
1123,how are you managing with your current pain levels?,PAIN LEVEL CURRENT MANAGE HOW YOU?,/PAIN LEVEL CURRENT MANAGE HOW YOU?/*.npy
1124,How are you managing your diabetes daily?,DIABETES DAILY MANAGE HOW YOU?,/DIABETES DAILY MANAGE HOW YOU/*.npy
1125,How are you managing your diabetes?,DIABETES MANAGE HOW YOU?,/DIABETES MANAGE HOW YOU/*.npy
1126,how can i assist in their cognitive exercises or therapies?,"COGNITIVE EXERCISES, THERAPIES, ASSIST HOW CAN?","/COGNITIVE EXERCISES, THERAPIES, ASSIST HOW CAN?/*.npy"
1127,How can I help in cognitive exercises or therapies?,"COGNITIVE EXERCISES, THERAPIES, ASSIST HOW CAN?","/COGNITIVE EXERCISES, THERAPIES, ASSIST HOW CAN?/*.npy"
1128,How can I help maintain their independence during recovery?,"INDEPENDENCE MAINTAIN, RECOVERY DURING, HELP HOW?","/INDEPENDENCE MAINTAIN, RECOVERY DURING, HELP HOW?/*.npy"
1129,how can i help them cope with anxiety related to their health?,"ANXIETY HEALTH-RELATED, COPE HELP, HOW CAN?","/ANXIETY HEALTH-RELATED, COPE HELP, HOW CAN?/*.npy"
1130,how can i help them maintain their independence during recovery?,"INDEPENDENCE MAINTAIN, RECOVERY DURING, HELP HOW?","/INDEPENDENCE MAINTAIN, RECOVERY DURING, HELP HOW?/*.npy"
1131,how can i help them stay active and mobile?,"ACTIVE STAY, MOBILE HELP, HOW CAN?","/ACTIVE STAY, MOBILE HELP, HOW CAN?/*.npy"
1132,How can I help with their recovery?,"RECOVERY THEIR, HELP HOW CAN?","/RECOVERY THEIR, HELP HOW CAN?/*.npy"
1133,how can i make the home environment safer for their recovery?,"HOME MAKE SAFE, RECOVERY FOR HOW?","/HOME MAKE SAFE, RECOVERY FOR HOW?/*.npy"
1134,how can i make this easier for your child?,EASIER FOR YOUR CHILD HOW?,/EASIER FOR YOUR CHILD HOW?/*.npy
1135,How can I make this process easier for your child?,EASIER FOR YOUR CHILD HOW?,/EASIER FOR YOUR CHILD HOW?/*.npy
1136,how can we ensure they're getting the right nutrition for healing?,"RIGHT NUTRITION GET, HEALING FOR, ENSURE HOW?","/RIGHT NUTRITION GET, HEALING FOR, ENSURE HOW?/*.npy"
1137,How can we make their care plan easier for you to manage?,CARE PLAN THEIR EASIER YOU MANAGE HOW CAN WE?,/CARE PLAN THEIR EASIER YOU MANAGE HOW CAN WE/*.npy
1138,how can we make their home environment more conducive to healing?,"HOME ENVIRONMENT, HEALING PROMOTE, MAKE HOW?","/HOME ENVIRONMENT, HEALING PROMOTE, MAKE HOW?/*.npy"
1139,How can we make your daily routine easier?,DAILY ROUTINE EASIER MAKE HOW WE CAN?,/DAILY ROUTINE EASIER MAKE HOW WE CAN/*.npy
1140,How can we manage their care plan to make it easier for you?,CARE PLAN THEIR EASIER YOU MANAGE HOW CAN WE?,/CARE PLAN THEIR EASIER YOU MANAGE HOW CAN WE/*.npy
1141,how can we work together to ensure the best outcome for their health?,"BEST OUTCOME ENSURE, WORK TOGETHER HOW?","/BEST OUTCOME ENSURE, WORK TOGETHER HOW?/*.npy"
1142,How can we work together to have the best health outcome?,"BEST OUTCOME ENSURE, WORK TOGETHER HOW?","/BEST OUTCOME ENSURE, WORK TOGETHER HOW?/*.npy"
1143,how comfortable are you with the proposed treatment plan?,TREATMENT PLAN PROPOSE COMFORTABLE YOU?,/TREATMENT PLAN PROPOSE COMFORTABLE YOU?/*.npy
1144,how do i schedule my next appointment?,NEXT APPOINTMENT SCHEDULE HOW?,/NEXT APPOINTMENT SCHEDULE HOW?/*.npy
1145,How do you describe the stress level currently?,STRESS LEVEL CURRENT DESCRIBE HOW?,/STRESS LEVEL CURRENT DESCRIBE HOW/*.npy
1146,How do you feel about your progress in improving your health?,HEALTH PROGRESS FEEL ABOUT HOW?,/HEALTH PROGRESS FEEL ABOUT HOW?/*.npy
1147,How do you feel your condition changed over time?,CONDITION CHANGE OVER TIME HOW FEEL YOU?,/CONDITION CHANGE OVER TIME HOW FEEL YOU/*.npy
1148,How do you feel your condition has changed over time?,CONDITION CHANGE OVER TIME HOW FEEL YOU?,/CONDITION CHANGE OVER TIME HOW FEEL YOU/*.npy
1149,How do you manage diabetes daily?,DIABETES DAILY MANAGE HOW YOU?,/DIABETES DAILY MANAGE HOW YOU/*.npy
1150,how do you manage the current pain levels?,PAIN LEVEL CURRENT MANAGE HOW YOU?,/PAIN LEVEL CURRENT MANAGE HOW YOU?/*.npy
1151,How do you manage your diabetes?,DIABETES MANAGE HOW YOU?,/DIABETES MANAGE HOW YOU/*.npy
1152,how do you manage your stress levels?,STRESS MANAGE HOW YOU?,/STRESS MANAGE HOW YOU?/*.npy
1153,How do you want your home care handled?,HOME CARE HANDLE HOW YOU WANT?,/HOME CARE HANDLE HOW YOU WANT/*.npy
1154,How does my condition affect my lifestyle?,LIFESTYLE CONDITION AFFECT HOW?,/LIFESTYLE CONDITION AFFECT HOW/*.npy
1155,How does this condition affect your mental health?,CONDITION MENTAL HEALTH AFFECT HOW?,/CONDITION MENTAL HEALTH AFFECT HOW/*.npy
1156,how does your sleep affect your health?,SLEEP AFFECT HEALTH HOW?,/SLEEP AFFECT HEALTH HOW?/*.npy
1157,How has this condition impacted your mental health?,CONDITION MENTAL HEALTH AFFECT HOW?,/CONDITION MENTAL HEALTH AFFECT HOW/*.npy
1158,how has your appetite been affected by your health or medications?,APPETITE AFFECT HEALTH MEDICATION HOW?,/APPETITE AFFECT HEALTH MEDICATION HOW?/*.npy
1159,how has your condition impacted your work or daily routines?,CONDITION AFFECT WORK DAILY ROUTINE HOW?,/CONDITION AFFECT WORK DAILY ROUTINE HOW?/*.npy
1160,how has your family been coping with your health situation?,FAMILY COPE HEALTH SITUATION HOW?,/FAMILY COPE HEALTH SITUATION HOW?/*.npy
1161,How has your life been affected by your condition?,CONDITION LIFE AFFECT HOW?,/CONDITION LIFE AFFECT HOW/*.npy
1162,how has your mobility been affected by your health condition?,HEALTH CONDITION AFFECT MOBILITY HOW?,/HEALTH CONDITION AFFECT MOBILITY HOW?/*.npy
1163,how has your sleep been affected by your health issues?,SLEEP AFFECT HEALTH HOW?,/SLEEP AFFECT HEALTH HOW?/*.npy
1164,how have you been feeling emotionally with your current health condition?,FEEL EMOTIONAL HEALTH CURRENT HOW?,/FEEL EMOTIONAL HEALTH CURRENT HOW?/*.npy
1165,how have you been managing your stress levels?,STRESS MANAGE HOW YOU?,/STRESS MANAGE HOW YOU?/*.npy
1166,How is your condition affecting work or daily routines?,CONDITION AFFECT WORK DAILY ROUTINE HOW?,/CONDITION AFFECT WORK DAILY ROUTINE HOW?/*.npy
1167,How is your family coping with your health situation?,FAMILY COPE HEALTH SITUATION HOW?,/FAMILY COPE HEALTH SITUATION HOW?/*.npy
1168,How is your life impacted by your condition?,CONDITION LIFE AFFECT HOW?,/CONDITION LIFE AFFECT HOW/*.npy
1169,How is your mobility affected by your current health?,HEALTH CONDITION AFFECT MOBILITY HOW?,/HEALTH CONDITION AFFECT MOBILITY HOW?/*.npy
1170,How long are you feeling fatigue?,LONG YOU FEEL FATIGUE?,/LONG YOU FEEL FATIGUE?/*.npy
1171,How long do been feel this way?,"FEEL THIS WAY, HOW LONG YOU?","/FEEL THIS WAY, HOW LONG YOU/*.npy"
1172,how long do you expect the procedure to take?,"PROCEDURE LONG TAKE, EXPECT HOW LONG?","/PROCEDURE LONG TAKE, EXPECT HOW LONG?/*.npy"
